word,emotion,color,orientation,sentiment,subjectivity,source
أرملة,sadness,black,passive,,,emolex
الأرمل,sadness,,,,,emolex
تقهقر,sadness,black,,negative,,emolex
صعق,sadness,grey,passive,negative,,emolex
محزن,sadness,,,negative,strong,emolex
البالية,sadness,grey,passive,negative,weak,emolex
قلق,sadness,,,negative,strong,emolex
متجعد,sadness,,,negative,,emolex
تخلى,fear,,,negative,weak,emolex
اختطاف,fear,white,,negative,,emolex
غياب,fear,white,,negative,weak,emolex
هاوية,fear,black,,negative,strong,emolex
حادث,fear,red,,negative,,emolex
عرضي,fear,,,negative,weak,emolex
حيلة بارعة,fear,,,positive,,emolex
حاكم,fear,,,negative,,emolex
تحذير,fear,,active,negative,strong,emolex
ابتلى,fear,,active,negative,weak,emolex
خائف,fear,,passive,negative,strong,emolex
الآغا,fear,,,positive,,emolex
مؤلم,fear,,,negative,strong,emolex
معتل,fear,,,negative,,emolex
إنذار,fear,red,active,negative,weak,emolex
مرعب,fear,red,,negative,strong,emolex
سياره اسعاف,fear,red,,,,emolex
خناق,fear,red,,negative,,emolex
شذوذ,fear,,,negative,weak,emolex
اباتشي,fear,,,negative,,emolex
شبح,fear,white,,,,emolex
التهاب الزائدة الدودية,fear,,,negative,,emolex
قبض على,fear,,active,positive,weak,emolex
تخوف,fear,,active,negative,strong,emolex
التسلح,fear,black,,negative,,emolex
درع,fear,grey,,positive,,emolex
مدرع,fear,,,,,emolex
سلاح المدفعية,fear,grey,,negative,,emolex
افعى صغيرة سامة,fear,brown,,,,emolex
ضل,fear,,passive,negative,weak,emolex
اللجوء,fear,,,negative,weak,emolex
تصلب الشرايين,fear,,,negative,,emolex
مدقق حسابات,fear,,,,,emolex
متزمت,fear,black,,negative,strong,emolex
انهيار ثلجي,fear,white,,negative,strong,emolex
تجنب,fear,,passive,negative,weak,emolex
تجنب,fear,black,passive,negative,weak,emolex
تجنب,fear,,,,,emolex
حاجب محكمة,fear,blue,,negative,,emolex
طعم,fear,,active,negative,strong,emolex
بالة,fear,,,negative,,emolex
مفلس,fear,black,,negative,weak,emolex
بربري,fear,,,negative,strong,emolex
متراس,fear,,,negative,,emolex
ضرب,fear,,,negative,weak,emolex
ساحة المعركة,fear,,,negative,weak,emolex
شخص ضخم جدا,fear,,,negative,,emolex
متحير,fear,,,negative,strong,emolex
حيرة,fear,,,negative,strong,emolex
نعش,fear,black,,negative,,emolex
خزعة,fear,red,,negative,,emolex
سواد,fear,black,,negative,,emolex
شجن,fear,blue,,negative,,emolex
مفجر,fear,,,,,emolex
عبودية,fear,black,passive,negative,strong,emolex
لا قعر له,fear,black,,,,emolex
الفرقة,fear,blue,,negative,,emolex
حطم,fear,,active,negative,weak,emolex
طرح ارضا,fear,brown,,negative,,emolex
القبو,fear,brown,,,,emolex
متعب,fear,,,negative,strong,emolex
مدفون,fear,brown,,negative,,emolex
عصبة,fear,grey,,negative,,emolex
أسير,fear,,passive,negative,weak,emolex
الآسر,fear,black,,negative,,emolex
سرطان,fear,black,,negative,,emolex
اعتلال عضلة القلب,fear,red,,negative,,emolex
لاحم,fear,,,negative,,emolex
خرطوشة,fear,black,,,,emolex
قضية,fear,white,,negative,,emolex
تابوت,fear,black,,negative,,emolex
تحذيري,fear,,,negative,strong,emolex
بحذر,fear,yellow,,positive,,emolex
مقبرة,fear,,,negative,,emolex
يتغيرون,fear,,active,,,emolex
عرضة للإتهام,fear,red,,negative,,emolex
هوة,fear,black,,,,emolex
دجاج,fear,white,,,,emolex
الكمير كائن خرافي,fear,,,,,emolex
انفسخ,fear,,,,,emolex
جرف,fear,brown,,,,emolex
كدر,fear,grey,,negative,,emolex
الكوبرا,fear,black,,,,emolex
نعش,fear,black,,negative,,emolex
غيبوبة,fear,black,,negative,,emolex
سباتي,fear,,,negative,,emolex
تعاطف,fear,,,positive,strong,emolex
قلق,fear,,,negative,strong,emolex
كرسي الاعتراف,fear,,,,,emolex
الثقة,fear,,,positive,strong,emolex
مؤامرة,fear,,,negative,weak,emolex
تآمر,fear,black,active,negative,strong,emolex
تجبر,fear,,,negative,weak,emolex
شرطي,fear,blue,,,,emolex
تآكل,fear,black,,negative,weak,emolex
جرئ,fear,red,,positive,strong,emolex
جبانة,fear,yellow,,negative,,emolex
جبان,fear,yellow,,negative,strong,emolex
خجول,fear,yellow,,,,emolex
القيوط ذئب,fear,brown,,,,emolex
يصطدم _ تصادم,fear,,,negative,,emolex
إصابة بالعرج,fear,,active,negative,strong,emolex
تمساح,fear,green,,,,emolex
انحنى,fear,,,,,emolex
الرابض,fear,,,negative,,emolex
سرداب,fear,,,negative,,emolex
طائفة دينية,fear,black,,negative,,emolex
قاطعة,fear,grey,,negative,,emolex
السيانيد,fear,,,negative,,emolex
الإعصار,fear,grey,,negative,,emolex
كيس,fear,,,negative,,emolex
خنجر,fear,black,,negative,,emolex
خطر,fear,,,negative,weak,emolex
خطير,fear,red,,negative,weak,emolex
ظلم,fear,black,,negative,weak,emolex
مظلمة,fear,black,,negative,,emolex
حركة سريعة,fear,red,,,,emolex
هزيمة,fear,black,,negative,strong,emolex
تسوس,fear,black,passive,negative,strong,emolex
ارتداد,fear,,,negative,,emolex
الدفاع,fear,,active,positive,weak,emolex
مسالم,fear,black,,negative,,emolex
الانكماش,fear,,,negative,,emolex
غمر,fear,blue,,negative,weak,emolex
مجنون,fear,,,negative,,emolex
مرض عقلي,fear,,,negative,,emolex
زوال,fear,black,passive,negative,strong,emolex
الروح المعنوية,fear,,,negative,,emolex
طب الأسنان,fear,,,,,emolex
اعتماد,fear,,passive,negative,,emolex
طرد,fear,,,negative,,emolex
الاستهلاك,fear,,passive,negative,,emolex
خفض,fear,,passive,negative,weak,emolex
نزول,fear,black,,,,emolex
خراب,fear,black,,negative,strong,emolex
يائس,fear,,,negative,strong,emolex
مستبد,fear,black,,negative,strong,emolex
فقراء,fear,,,negative,strong,emolex
تدهور,fear,,,negative,weak,emolex
تفجر,fear,red,,negative,,emolex
دكتاتور,fear,,,negative,weak,emolex
موت,fear,,,negative,,emolex
صعبة,fear,,,negative,weak,emolex
سد,fear,brown,,,,emolex
ديناصور,fear,green,,,,emolex
تعطيل,fear,,active,negative,weak,emolex
معاق,fear,,,negative,weak,emolex
اختفى,fear,,passive,,,emolex
تهذيب,fear,,active,negative,,emolex
تثبيط,fear,,passive,negative,strong,emolex
بلا جسد,fear,,,negative,,emolex
اضطراب,fear,,,negative,weak,emolex
محزن,fear,,,negative,strong,emolex
مهيمن,fear,black,,negative,weak,emolex
سلطان,fear,,,,,emolex
الموت,fear,black,passive,negative,strong,emolex
محكوم,fear,black,,negative,,emolex
شك,fear,grey,passive,negative,strong,emolex
سقوط,fear,black,,negative,strong,emolex
تنين,fear,red,,negative,strong,emolex
غرق,fear,blue,passive,negative,,emolex
مشكوك فيه,fear,,,negative,strong,emolex
زنزانة,fear,black,,negative,strong,emolex
تتضاءل,fear,,,negative,,emolex
مرسوم,fear,,,negative,,emolex
الانقليس,fear,,,,,emolex
مهزول,fear,,,negative,strong,emolex
مشاكل مالية,fear,red,,negative,strong,emolex
انسداد وعاء دموي,fear,red,,negative,,emolex
حالة طوارئ,fear,red,,negative,,emolex
انتهاك,fear,grey,,negative,weak,emolex
المهددة بالخطر,fear,,,negative,,emolex
التهاب داخلى بالقلب,fear,,,,,emolex
المبهمة,fear,,,negative,,emolex
محو,fear,white,active,negative,weak,emolex
هرب,fear,,,,,emolex
أثيري,fear,,,,,emolex
قتل رحيم,fear,black,,negative,,emolex
إخلاء,fear,,,negative,,emolex
تملص,fear,,,negative,weak,emolex
فحص,fear,,active,negative,,emolex
طاحنة,fear,red,,negative,strong,emolex
طرد الارواح الشريرة,fear,,,negative,,emolex
انفجار,fear,orange,active,negative,,emolex
إبادة,fear,,active,negative,strong,emolex
الإعدام خارج نطاق القضاء,fear,,,negative,,emolex
إغماء,fear,,,negative,,emolex
تداعى,fear,,,negative,strong,emolex
تعصب,fear,,,negative,strong,emolex
ناب,fear,,,,,emolex
الأنياب,fear,,,,,emolex
نكبة,fear,black,,negative,,emolex
خشية,fear,black,passive,negative,strong,emolex
بخوف,fear,,,negative,strong,emolex
خوفا,fear,,,negative,,emolex
لا يعرف الخوف,fear,,,positive,strong,emolex
مجرم,fear,black,,negative,weak,emolex
حمة,fear,red,passive,negative,weak,emolex
نار,fear,,active,,,emolex
هرب,fear,brown,active,,,emolex
هرب,fear,,active,negative,,emolex
فيضان,fear,brown,,,,emolex
تخبط,fear,,passive,negative,strong,emolex
أنفلونزا,fear,,,negative,,emolex
طيران,fear,,,positive,,emolex
قسري,fear,brown,,negative,,emolex
حبس الرهن,fear,,,negative,,emolex
أجنبي,fear,,,negative,,emolex
مصادرة,fear,,,negative,,emolex
نسي,fear,grey,passive,negative,,emolex
هائل,fear,black,,positive,strong,emolex
قلعة,fear,,,positive,strong,emolex
هش,fear,pink,,negative,weak,emolex
مفعم,fear,brown,,negative,strong,emolex
أقلق,fear,red,active,negative,strong,emolex
فرقاطة,fear,grey,,,,emolex
رعب,fear,black,,negative,strong,emolex
أرعب,fear,black,active,negative,strong,emolex
خائف,fear,,,negative,,emolex
جرح بليغ,fear,red,,negative,,emolex
مبهور,fear,,,negative,,emolex
شبح,fear,white,,,,emolex
شبحي,fear,white,,negative,,emolex
عملاق,fear,,,,weak,emolex
المصارع,fear,,,,,emolex
الحكومي,fear,,,negative,,emolex
قبر,fear,black,,negative,strong,emolex
قنبلة يدوية,fear,green,,negative,,emolex
حزن,fear,black,active,negative,strong,emolex
أشيب,fear,brown,,negative,,emolex
على الارض,fear,,,negative,,emolex
حارس,fear,,active,positive,,emolex
حرب العصابات,fear,brown,,negative,,emolex
بلع,fear,yellow,,,,emolex
بارود,fear,grey,,,,emolex
هلوسة,fear,purple,,negative,strong,emolex
وقف,fear,,,negative,,emolex
جلاد,fear,,,negative,,emolex
ضرر,fear,,passive,negative,strong,emolex
مروعة,fear,,,negative,,emolex
تطارد,fear,black,active,negative,weak,emolex
تطارده الأشباح,fear,black,,negative,,emolex
صقر,fear,grey,,,,emolex
خطر,fear,red,active,negative,weak,emolex
خطير,fear,,,negative,weak,emolex
ضباب,fear,grey,,negative,,emolex
سمع,fear,,,negative,,emolex
عربة الموتى,fear,black,,negative,,emolex
وثني,fear,red,,negative,strong,emolex
رفع,fear,,,negative,,emolex
خوذة,fear,,,positive,,emolex
عاجز,fear,,passive,negative,weak,emolex
العجز,fear,grey,,negative,weak,emolex
تردد,fear,grey,passive,negative,,emolex
إخفاء,fear,brown,active,,,emolex
إخفاء,fear,,,,,emolex
واجب منزلي,fear,,,,,emolex
ذو غطاء,fear,black,,,,emolex
ميئوس منه,fear,,passive,negative,strong,emolex
مروع,fear,,,negative,,emolex
أهوال,fear,black,,negative,strong,emolex
مستشفى,fear,white,,,,emolex
اعصار,fear,,,negative,,emolex
شر متعدد العناصر,fear,,,negative,,emolex
هستيريا,fear,,,negative,strong,emolex
مرض,fear,,passive,negative,weak,emolex
المهاجر,fear,,,,,emolex
الإتهام بجريمة,fear,,,negative,,emolex
غارة,fear,,,negative,,emolex
غير قابل للإلغاء,fear,,,negative,strong,emolex
اتهام,fear,,,negative,,emolex
لا يقهر,fear,,,positive,strong,emolex
احتشاء,fear,,,negative,,emolex
عدوى,fear,,,negative,,emolex
مرض,fear,,,negative,,emolex
التضخم,fear,green,,negative,,emolex
بلاء,fear,black,,negative,,emolex
حقنة,fear,,,,,emolex
مصاب,fear,red,,negative,,emolex
انعدام الأمن,fear,,passive,negative,strong,emolex
إفلاس,fear,,,negative,,emolex
المفلس,fear,,,negative,weak,emolex
لا يذلل,fear,,,negative,weak,emolex
المخابرات,fear,,,positive,weak,emolex
تشفع,fear,,active,positive,weak,emolex
استجواب,fear,,,,,emolex
استجواب,fear,,,,,emolex
مذيع,fear,,,,,emolex
تخويف,fear,yellow,active,negative,weak,emolex
التدخل,fear,black,,negative,weak,emolex
قزحية,fear,,,,,emolex
لا يمكن إصلاحه,fear,black,,negative,strong,emolex
معزول,fear,grey,,negative,weak,emolex
سجن,fear,,active,negative,,emolex
متنافر,fear,,,negative,,emolex
شعور بالإشمئزاز,fear,yellow,,negative,,emolex
فك,fear,grey,,,,emolex
أدغال,fear,green,,,,emolex
كيروسين,fear,yellow,,,,emolex
خان,fear,,,,,emolex
قتل,fear,black,active,negative,weak,emolex
قرعة الناقوس,fear,,,negative,,emolex
انهيار أرضي,fear,brown,,negative,,emolex
القابعين,fear,,,negative,,emolex
ميت,fear,black,,negative,weak,emolex
خطوط,fear,,,,,emolex
أسد,fear,yellow,,positive,,emolex
اغلق,fear,grey,,negative,,emolex
جراد,fear,green,,negative,,emolex
الشعور بالوحدة,fear,grey,passive,negative,strong,emolex
مخلص,fear,,,positive,weak,emolex
صولجان,fear,,,negative,,emolex
مافيا,fear,black,,negative,,emolex
بركه,fear,,,,,emolex
خباثة,fear,black,,negative,,emolex
مستعجلا,fear,,,negative,,emolex
مظهر,fear,,,,,emolex
شهيد,fear,red,,negative,,emolex
استشهاد,fear,green,,negative,strong,emolex
شجار,fear,,,negative,,emolex
مرتزق,fear,,,negative,,emolex
بدون رحمة,fear,,,negative,strong,emolex
الجيش,fear,,,,,emolex
إجهاض,fear,,,negative,,emolex
مصيبة,fear,grey,passive,negative,strong,emolex
صاروخ,fear,,,,,emolex
مفقود,fear,black,,negative,,emolex
مخطئ,fear,black,active,negative,strong,emolex
أنين,fear,,active,negative,strong,emolex
مسخ,fear,,,negative,strong,emolex
الرهن العقاري,fear,,,,,emolex
مديون,fear,,,,,emolex
ثلاجة الموتى,fear,black,,negative,,emolex
صامت,fear,grey,,negative,strong,emolex
بندقية قديمة,fear,black,,,,emolex
كمامة,fear,,,negative,,emolex
الهلع,fear,,,negative,strong,emolex
الألم العصبي,fear,,,negative,,emolex
إضطراب عصبي,fear,grey,,negative,,emolex
الوافد,fear,,,,,emolex
كابوس,fear,black,,negative,strong,emolex
الانصياع,fear,white,passive,positive,strong,emolex
الملتزم,fear,,,negative,,emolex
طمس,fear,black,,negative,,emolex
كل القوة,fear,white,,negative,,emolex
عملية,fear,blue,,,,emolex
عتاد,fear,,,negative,,emolex
يتيم,fear,,,negative,weak,emolex
المحطة,fear,,,,,emolex
غريب,fear,orange,,negative,weak,emolex
علني,fear,,,,weak,emolex
الم,fear,,,negative,strong,emolex
يتألمون,fear,red,,negative,,emolex
جائحة,fear,black,,negative,,emolex
هلع,fear,,passive,negative,strong,emolex
مظلة,fear,white,,,,emolex
جنون العظمة,fear,,,negative,strong,emolex
جزائي,fear,,,negative,,emolex
كفارة,fear,,,,,emolex
هلك,fear,black,,negative,strong,emolex
برد قارص,fear,black,,negative,,emolex
شهادة زور,fear,,,negative,,emolex
اضطراب,fear,brown,,negative,,emolex
متشائم,fear,,,negative,,emolex
كتيبة,fear,black,,,,emolex
وهمي,fear,grey,,negative,,emolex
جناح الطائر,fear,,,negative,,emolex
هبوط بسرعة,fear,,,negative,,emolex
غطس,fear,,passive,negative,,emolex
الالتهاب الرئوي,fear,black,,negative,,emolex
شرطة,fear,blue,,positive,,emolex
الشرطي,fear,blue,,positive,,emolex
شلل الأطفال,fear,black,,negative,,emolex
قوات قليلة,fear,,,,,emolex
بقوة,fear,,,positive,weak,emolex
جرف,fear,black,,,,emolex
مأزق,fear,,,negative,strong,emolex
متعمد,fear,,,negative,strong,emolex
يحول دون,fear,black,active,,,emolex
فريسة,fear,,,negative,,emolex
مشكلة,fear,black,,negative,weak,emolex
إجراء,fear,grey,,positive,,emolex
قذيفة,fear,,,,,emolex
مقذوفات,fear,,,,,emolex
البروتستانت,fear,grey,,,,emolex
طاف خلسة,fear,,active,,,emolex
أسد امريكي,fear,black,,,,emolex
يعاقب,fear,,active,negative,strong,emolex
تطهير,fear,,,negative,,emolex
طائر السمان,fear,yellow,,negative,,emolex
زلزال,fear,grey,,,,emolex
الحجر الزراعي,fear,,,,,emolex
سحق,fear,black,,negative,strong,emolex
ارتجاف,fear,,,negative,,emolex
مرتعش,fear,,,negative,,emolex
إشعاع,fear,red,,negative,,emolex
إشعاعي النشاط,fear,red,,negative,,emolex
غاز الرادون,fear,,,negative,,emolex
الطيور الجارحة,fear,,,negative,,emolex
أفعى الجلجلة,fear,,,,,emolex
واد,fear,brown,,,,emolex
موس الحلاقة,fear,grey,,,,emolex
الخبايا,fear,,,,,emolex
دحض,fear,,,negative,strong,emolex
فوج,fear,,,,,emolex
التنظيمية,fear,grey,,negative,,emolex
انتكاس,fear,,passive,negative,weak,emolex
ممانع,fear,,passive,negative,weak,emolex
نادم,fear,,active,positive,strong,emolex
قمع,fear,,,negative,weak,emolex
بتر,fear,red,,,,emolex
مقاومة,fear,,,negative,weak,emolex
المقيد,fear,,,,,emolex
كتوم,fear,,,negative,strong,emolex
تخفيض النفقات,fear,,,negative,,emolex
قضيب,fear,brown,,positive,,emolex
أنقاض,fear,,,negative,,emolex
خراب,fear,black,active,negative,weak,emolex
قاعدة,fear,,active,,,emolex
تمزق,fear,red,,negative,weak,emolex
تبلد,fear,,passive,negative,weak,emolex
السامرائي,fear,black,,positive,,emolex
السرقوم ورم خبيث,fear,black,,negative,,emolex
سقالة,fear,brown,,negative,,emolex
مشرط,fear,grey,,negative,,emolex
فضيحة,fear,,,negative,weak,emolex
نادر,fear,,,negative,weak,emolex
شخص رث الثياب,fear,brown,,negative,,emolex
صياح,fear,,,negative,strong,emolex
عزلة,fear,,,negative,,emolex
حجز,fear,,active,negative,,emolex
تشنج,fear,brown,,,,emolex
خرف,fear,grey,,negative,strong,emolex
تعفن الدم,fear,,,negative,,emolex
خطورة,fear,,,negative,strong,emolex
المكلف,fear,,,positive,,emolex
ظليلة,fear,,,negative,strong,emolex
اهتزاز,fear,,,negative,,emolex
عرقوب,fear,,,,,emolex
حطام سفينة,fear,,,negative,weak,emolex
بندقية,fear,black,,,,emolex
شظايا,fear,red,,,,emolex
وإنكمش,fear,,passive,negative,,emolex
قشعريرة,fear,,passive,negative,,emolex
صفارة إنذار,fear,,,negative,,emolex
تهريب,fear,,active,negative,,emolex
كمين,fear,black,,negative,weak,emolex
حزن,fear,black,passive,negative,strong,emolex
طلعة جوية,fear,,,negative,,emolex
توأم الروح,fear,,,negative,,emolex
تشنج,fear,,,negative,,emolex
شبح,fear,white,,negative,,emolex
تخمين,fear,,,negative,weak,emolex
تصاعد,fear,brown,,,,emolex
العانس,fear,,,negative,weak,emolex
شبح,fear,,,negative,strong,emolex
شبح,fear,,,negative,,emolex
حافز,fear,,,positive,strong,emolex
صرخة,fear,black,,negative,,emolex
ساق,fear,,,negative,,emolex
جفل,fear,yellow,passive,negative,strong,emolex
جوع,fear,black,,negative,weak,emolex
سكون,fear,,,positive,,emolex
مهمة,fear,brown,,negative,,emolex
عاصف,fear,black,,negative,weak,emolex
ضيق,fear,black,,negative,,emolex
غريب,fear,black,,negative,strong,emolex
نقالة,fear,white,,,,emolex
السكتة الدماغية,fear,,active,negative,,emolex
فاجأ,fear,yellow,,negative,strong,emolex
المرؤوس,fear,brown,passive,negative,weak,emolex
مصاب,fear,,passive,negative,strong,emolex
سلطان,fear,,,,,emolex
خرافة,fear,,,negative,strong,emolex
العملية الجراحية,fear,white,,,,emolex
مفاجأة,fear,yellow,active,positive,strong,emolex
استسلام,fear,white,passive,negative,weak,emolex
مراقبة,fear,,active,,,emolex
مشتبه فيه,fear,,,negative,weak,emolex
ايقاف عن العمل,fear,black,,negative,,emolex
اشتباه,fear,grey,,negative,weak,emolex
عرق,fear,,passive,,,emolex
تورم,fear,,,negative,,emolex
انحرف,fear,yellow,,,,emolex
ودي,fear,pink,,positive,strong,emolex
إغماء,fear,,,negative,,emolex
مرادف,fear,,,negative,,emolex
محقنة,fear,,,,,emolex
تكتيكات,fear,,,positive,,emolex
طرفية,fear,black,,negative,,emolex
ذعر,fear,black,,negative,strong,emolex
الثالث عشر,fear,black,,,,emolex
شائك,fear,,,negative,strong,emolex
نبض,fear,red,,negative,,emolex
شاذ,fear,,,,,emolex
خجول,fear,pink,passive,negative,strong,emolex
وجع أسنان,fear,,,negative,,emolex
إعصار,fear,grey,,,,emolex
سيل,fear,blue,,negative,strong,emolex
توكسين مادة سامة,fear,,,negative,,emolex
ورقة دعاية دينية أو سياسية,fear,orange,,,,emolex
مأساة,fear,black,,negative,weak,emolex
ارتجاف,fear,,,negative,,emolex
محنة,fear,black,,negative,,emolex
ورم,fear,,,negative,,emolex
ورم,fear,,,negative,,emolex
عنيف,fear,,,negative,weak,emolex
الاعصار,fear,grey,,negative,,emolex
استبداد,fear,,,negative,strong,emolex
خارق للطبيعة,fear,,,negative,,emolex
عاطلين عن العمل,fear,,,negative,,emolex
غير مقدس,fear,,,negative,,emolex
اضطراب,fear,,,negative,strong,emolex
غير مأمون,fear,,,negative,weak,emolex
لا يوصف,fear,black,,negative,strong,emolex
غير مستقر,fear,red,,negative,weak,emolex
غير مستقر,fear,,,negative,weak,emolex
صلاحية,fear,,,positive,weak,emolex
اختفت,fear,grey,,negative,,emolex
انحرف,fear,green,,,,emolex
حكم,fear,,,,,emolex
دوار,fear,grey,,negative,,emolex
اليقظة,fear,,,positive,weak,emolex
الوغد,fear,black,,negative,,emolex
أفعى سامة,fear,red,,negative,weak,emolex
بركان,fear,red,,negative,,emolex
عالي التأثر,fear,,,negative,,emolex
عويل,fear,,active,negative,strong,emolex
شبكه عالميه,fear,grey,,negative,,emolex
حرب,fear,,,negative,weak,emolex
سلعة,fear,orange,,negative,,emolex
مشعوذ,fear,,,,,emolex
تحذير,fear,red,,negative,weak,emolex
حذر,fear,,,negative,strong,emolex
تردد,fear,grey,,negative,,emolex
ضعيف,fear,,,negative,,emolex
ثقيل,fear,orange,,,,emolex
غريب الأطوار,fear,,,negative,,emolex
تذمر,fear,,active,negative,strong,emolex
دوامة,fear,,,,,emolex
زوبعة,fear,,,negative,,emolex
شرير,fear,black,,negative,strong,emolex
حريق هائل,fear,red,,negative,,emolex
أسوأ,fear,black,,negative,strong,emolex
رهاب الأجانب,fear,,,negative,,emolex
انحراف,disgust,orange,,negative,strong,emolex
خسيس,disgust,,passive,negative,strong,emolex
غير طبيعى,disgust,,,negative,weak,emolex
فظيع,disgust,,,negative,strong,emolex
الإجهاض,disgust,black,,negative,,emolex
الزنا,disgust,red,,negative,,emolex
مصيبة,disgust,,passive,negative,weak,emolex
مذعور,disgust,,,negative,strong,emolex
اجواء,disgust,,,negative,weak,emolex
كائن فضائي,disgust,grey,,negative,,emolex
غاز الأمونيا,disgust,white,,,,emolex
الأمفيتامينات,disgust,,,negative,,emolex
الأناكندة أفعى ضخمة,disgust,,,negative,,emolex
الجمرة الخبيثة,disgust,white,,negative,,emolex
المنة حشرة,disgust,green,,negative,,emolex
مروع,disgust,,,negative,strong,emolex
زرنيخ,disgust,,,negative,,emolex
عدم تناسق,disgust,black,,,,emolex
ضمور,disgust,,passive,negative,strong,emolex
تشريح الجثة,disgust,,,negative,,emolex
حرج,disgust,,,negative,strong,emolex
قرد الرباح,disgust,brown,,negative,,emolex
الى الوراء,disgust,,,negative,,emolex
بكتيريا,disgust,,,negative,,emolex
جرثوم,disgust,,,negative,,emolex
يتقيأ,disgust,,,,,emolex
خنزير مخصي,disgust,brown,,,,emolex
نذل,disgust,,,negative,strong,emolex
بغيض,disgust,black,,negative,strong,emolex
وحشي,disgust,,,negative,strong,emolex
نزيف,disgust,red,,negative,,emolex
آفة,disgust,black,,negative,,emolex
شقاء,disgust,,,negative,,emolex
نفطة,disgust,red,,negative,strong,emolex
منتفخ,disgust,,,negative,strong,emolex
سائل,disgust,,,negative,,emolex
تخبط,disgust,grey,active,negative,strong,emolex
دمل,disgust,,active,negative,strong,emolex
قصف,disgust,,,negative,,emolex
بقري,disgust,brown,,negative,,emolex
أحشاء,disgust,brown,,,,emolex
خادم,disgust,blue,,negative,,emolex
نخالة,disgust,brown,,,,emolex
رشوة,disgust,,,negative,,emolex
بيت دعارة,disgust,red,,negative,,emolex
بق,disgust,black,,negative,weak,emolex
متسكع,disgust,brown,,negative,weak,emolex
الدواويني,disgust,,,negative,,emolex
لص,disgust,black,,negative,,emolex
أحرق,disgust,red,,negative,,emolex
الجثة,disgust,,,negative,,emolex
آكل لحم البشر,disgust,red,,negative,strong,emolex
أكل لحوم البشر,disgust,,,negative,,emolex
جثة,disgust,black,,negative,,emolex
نخر الأسنان,disgust,black,,negative,,emolex
تعليم شفهي,disgust,,,,,emolex
سيس,disgust,brown,,negative,,emolex
غم,disgust,,,negative,strong,emolex
كوليرا,disgust,,,negative,,emolex
الخرقاء,disgust,yellow,,negative,strong,emolex
انهدام,disgust,,passive,negative,weak,emolex
سماد,disgust,brown,,negative,,emolex
مؤتمر,disgust,black,,,,emolex
الإمساك,disgust,brown,,negative,,emolex
معدي,disgust,green,,negative,weak,emolex
لوث,disgust,,active,negative,weak,emolex
ملوث,disgust,,,negative,,emolex
تلوث اشعاعى,disgust,,,negative,weak,emolex
جثة,disgust,,,negative,,emolex
فساد,disgust,black,,negative,strong,emolex
سعال,disgust,,,negative,,emolex
جبان,disgust,,passive,negative,strong,emolex
حماقة,disgust,brown,,negative,,emolex
زحف,disgust,,active,negative,,emolex
مخلوق,disgust,brown,passive,negative,,emolex
قرفص,disgust,,passive,negative,strong,emolex
المخلوق,disgust,,,,,emolex
نفط خام,disgust,brown,,negative,weak,emolex
قشري,disgust,,,negative,,emolex
ديوث,disgust,,,negative,,emolex
الحجامة,disgust,,,negative,,emolex
مثاني,disgust,,,,,emolex
المعتوه,disgust,,,negative,,emolex
مدهش,disgust,,,negative,,emolex
شديد الرطوبة,disgust,,,,,emolex
الفسوق,disgust,,,negative,strong,emolex
حطام,disgust,brown,,negative,,emolex
فاسد,disgust,black,,negative,strong,emolex
مخادع,disgust,,,negative,strong,emolex
تتحلل,disgust,brown,passive,,,emolex
تفكيك,disgust,brown,,negative,,emolex
قذف,disgust,,,negative,strong,emolex
الافتراضي,disgust,,active,negative,,emolex
معيب,disgust,black,,negative,strong,emolex
تشوه,disgust,brown,,negative,weak,emolex
مشوه,disgust,,,negative,weak,emolex
تشويه,disgust,,,negative,,emolex
تتحلل,disgust,,active,negative,strong,emolex
مهين,disgust,blue,,negative,strong,emolex
هذيان,disgust,,,negative,strong,emolex
محزن,disgust,,,negative,strong,emolex
تدهورت,disgust,black,,negative,,emolex
شيطاني,disgust,red,,negative,strong,emolex
حفاضات,disgust,white,,,,emolex
إسهال,disgust,brown,,,,emolex
مهلهل,disgust,grey,,negative,strong,emolex
رهيب,disgust,black,,negative,strong,emolex
التراب,disgust,brown,,negative,weak,emolex
قذر,disgust,brown,,negative,weak,emolex
خيبة الامل,disgust,black,passive,negative,strong,emolex
تغيير اللون,disgust,,,negative,,emolex
مشوه,disgust,yellow,,negative,,emolex
انقطاع,disgust,grey,,negative,strong,emolex
متحامل,disgust,white,,negative,weak,emolex
مريضة,disgust,black,,negative,weak,emolex
عدم الأمانة,disgust,black,,negative,strong,emolex
مخادع,disgust,black,,negative,strong,emolex
تفتت,disgust,white,,negative,weak,emolex
كئيب,disgust,,,negative,strong,emolex
تقطيع الأوصال,disgust,,,negative,,emolex
استياء,disgust,,passive,negative,strong,emolex
تخلص,disgust,,active,,,emolex
مهمل,disgust,,,negative,,emolex
تشريح,disgust,,,,,emolex
نفور,disgust,,,negative,strong,emolex
كريه,disgust,,,negative,strong,emolex
المحرفة,disgust,,,negative,,emolex
حمار,disgust,grey,,negative,,emolex
مخيف,disgust,,,negative,strong,emolex
هراء,disgust,,,negative,,emolex
سال لعابه,disgust,white,,,,emolex
سكران,disgust,,passive,negative,strong,emolex
روث,disgust,brown,,,,emolex
إسهال,disgust,brown,,negative,,emolex
مغرور,disgust,,,negative,strong,emolex
