words,emotion,color,orientation,sentiment,subjectivity,source
الى الوراء,fear,brown,,negative,strong,emolex
التخلف,anger,,,negative,strong,opinion
صد,anger,,,negative,strong,opinion
مرتبك,fear,,,negative,strong,opinion
الحيرة,fear,,,negative,strong,opinion
الحيرة,sadness,,,negative,strong,opinion
حيرة,fear,,,negative,strong,opinion
كفالة,trust,blue,active,,,inquirer
فقد توازنه,fear,,,positive,,emolex
فقد توازنه,surprise,,,positive,,emolex
متوازن,trust,,,positive,weak,emolex
أغنية راقصة,joy,,,positive,,emolex
رقص الباليه,joy,pink,,positive,,emolex
شاف,trust,,,positive,,inquirer
البلسم,joy,,,positive,,emolex
تافه,anger,,,negative,strong,opinion
تافه,Disgust,,,negative,strong,opinion
قاطع طريق,anger,black,,negative,,emolex
قاطع طريق,fear,black,,negative,,emolex
البانجو,disgust,brown,,,,colour
البانجو,anger,brown,,,,colour
البانجو,fear,brown,,,,colour
الهمجية,anger,red,,negative,,emolex
بربرية,anger,,,negative,strong,opinion
همجي,anger,,,negative,strong,opinion
الشواء , شواء,joy,red,,,,colour
شاعر,joy,,,positive,,emolex
حافي القدمين,sadness,pink,,,,colour
بالكاد,sadness,brown,,negative,weak,mpqa
محام في المحاكم العليا,trust,black,,,,colour
البيسبول,joy,white,,,,colour
لوح القاعدة,trust,brown,,,,colour
لا أساس له,sadness,,,negative,strong,emolex
قبو,sadness,black,,,,colour
قبو,fear,black,,,,colour
سحق,anger,,,negative,,opinion
سحق,fear,,,negative,,opinion
سحق,Disgust,,,negative,,opinion
عفيف النفس,trust,,passive,negative,strong,opinion
الأساسية,trust,,,positive,weak,mpqa
في الأساس,trust,,,,weak,mpqa
الأوغاد,,,,negative,,opinion
الخلط,,brown,,,,colour
حمام,,blue,,positive,,emolex
استحم,joy,blue,,,,colour
حمام,joy,white,,,,colour
الهراوات,anger,,,,weak,mpqa
خطوط المعركة,anger,,,negative,strong,mpqa
ساحة المعركة,anger,,,negative,strong,mpqa
معتوه,Disgust,,,negative,strong,opinion
معتوه,fear,,,negative,strong,opinion
فاجر,Disgust,,,negative,,emolex
فاجر,fear,,,negative,,emolex
تغلب,surprise,,active,,,inquirer
تغلب,joy,,active,,,inquirer
أسعد إلى أبعد الحدود,joy,,,positive,strong,mpqa
العاشق,joy,red,,,,colour
جميل,joy,,,positive,strong,opinion
جميل,anticipation,,,positive,strong,opinion
أغرى,Disgust,,active,positive,,opinion
سنحت,trust,,,positive,,opinion
الفراش,joy,white,,,,colour
هرج ومرج,fear,,,negative,strong,opinion
هرج ومرج,anger,,,negative,strong,opinion
المعتوه,Disgust,,,negative,strong,opinion
المعتوه,anger,,,negative,strong,opinion
غرفة نوم,joy,purple,,,,colour
وقت النوم,joy,black,,,,colour
خلية نحل,trust,yellow,,,,colour
يليق,anticipation,,passive,positive,strong,emolex
لوث,Disgust,,,negative,strong,opinion
لوث,fear,,,negative,strong,opinion
حقير,Disgust,,,negative,strong,opinion
حقير,anger,,,negative,strong,opinion
تسول,sadness,,,negative,strong,emolex
لهى,sadness,,,negative,strong,opinion
مدين بالفضل,anticipation,grey,,negative,,emolex
أهاجم وأكرر,anger,,,negative,strong,opinion
متأخر,sadness,,,negative,weak,emolex
حاصر,surprise,,,negative,strong,opinion
إيمان,trust,red,passive,,strong,mpqa
المعتقدات,trust,,,,weak,mpqa
معقول,trust,,,positive,strong,opinion
يصدق,trust,,passive,,strong,mpqa
التحقير,anger,,,negative,strong,opinion
مولع بالقتال,anger,,,negative,strong,opinion
مولع بالقتال,Disgust,,,negative,strong,opinion
العداء,anger,,,negative,strong,opinion
عدائي,anger,,,negative,strong,opinion
محبوب,joy,,,positive,strong,opinion
رثاء,sadness,,,negative,strong,opinion
مرتبك,fear,,,negative,strong,opinion
مرح صاخب,joy,,,negative,,emolex
رحيم,trust,,,positive,strong,opinion
مفيد,trust,,,positive,strong,opinion
فائدة,joy,,,positive,weak,emolex
فوائد,joy,,,positive,weak,opinion
منحرف,fear,,active,positive,,inquirer
وبخ,sadness,,,negative,strong,opinion
وبخ,anger,,,negative,strong,opinion
مرسى,trust,blue,,positive,,emolex
التمس,trust,,active,negative,strong,opinion
هاجم,anger,,,negative,weak,opinion
هاجم,fear,,,negative,weak,opinion
الأفضل,trust,,,positive,strong,opinion
أفضل المعروفة,trust,,,positive,strong,opinion
افضل اداء,trust,,,positive,strong,opinion
أفضل مبيعات,trust,,,positive,weak,opinion
تكبد,sadness,,active,positive,,inquirer
رهان,fear,white,active,,,inquirer
الخيانات,anger,,,negative,strong,opinion
الخيانات,Disgust,,,negative,strong,opinion
ضلالي,anger,,,negative,strong,opinion
الخائن,Disgust,,,negative,,opinion
خطب فتاة,joy,,active,positive,,inquirer
خطبة,joy,,,positive,,inquirer
أفضل,trust,,active,positive,strong,opinion
أفضل المعرفة,trust,,,positive,strong,opinion
أفضل مما كان متوقعا,surprise,,,positive,strong,opinion
تحسن,surprise,,,positive,,emolex
حير,surprise,,,negative,strong,opinion
مذهل,surprise,,,negative,strong,opinion
تثير الارتباك,fear,,,negative,strong,opinion
فتن,fear,,,negative,strong,opinion
فتن,anger,,,negative,strong,opinion
انحيازا,fear,yellow,,negative,strong,emolex
التحيزات,fear,,,negative,strong,opinion
تخاصم,anger,,,negative,strong,opinion
محاولة تزوير,anger,,,negative,strong,opinion
محاولة تزوير,fear,,,negative,weak,opinion
محاولة تزوير,Disgust,,,negative,weak,opinion
تعصب أعمى,Disgust,,,negative,,opinion
ماء آسن,trust,brown,,,,colour
بنج,fear,brown,,,,colour
مشاكس,joy,,,negative,strong,opinion
عضة,sadness,red,active,negative,,emolex
قضم,anger,,,negative,strong,opinion
عنيفا,anger,,,negative,strong,opinion
مرارة - مر,sadness,,passive,negative,strong,opinion
لعبة ورق,joy,black,,negative,,emolex
حداد,sadness,black,,,,colour
برئ,trust,,,positive,strong,emolex
مستحق اللوم,anticipation,,,negative,strong,opinion
ماصخ,Disgust,grey,,negative,strong,emolex
كفر,anger,,,negative,strong,opinion
انتقد,anger,,,negative,strong,opinion
إلى حد بائس,sadness,,,negative,strong,opinion
كآبة,sadness,,,negative,strong,opinion
ينزف,sadness,,passive,negative,weak,opinion
ينزف,fear,,,negative,,opinion
مزج,trust,green,,,,colour
معمى,sadness,black,,negative,,emolex
معصوب العينين,sadness,black,,,,colour
معصوب العينين,fear,black,,,,colour
تمام الوضوح,trust,,,negative,strong,opinion
غمز,joy,,passive,,,inquirer
بسعادة,joy,,,positive,strong,opinion
مرح,joy,,,positive,strong,opinion
عاصفة ثلجية,fear,white,,,,colour
انسداد,sadness,,,negative,,opinion
الأبله,Disgust,,,negative,strong,opinion
دم,sadness,red,,negative,weak,mpqa
عاصفة,surprise,,active,negative,weak,opinion
مخادعة,anger,,,negative,,emolex
متخبط,fear,,,negative,strong,opinion
الأخطاء,anger,,,negative,strong,opinion
شىء ضبابي,fear,,active,negative,weak,emolex
غير واضحة,fear,grey,,negative,,emolex
ضبابية,fear,,,negative,,opinion
ضبابية,surprise,,,negative,,opinion
يطمس,sadness,,,negative,,opinion
أفشى من غير تفكير,surprise,,active,negative,strong,opinion
إحمرار الوجه خجلا,joy,red,,,,colour
أفعى,fear,red,,,,colour
تباهى,Disgust,red,active,negative,strong,emolex
متبجح,anger,,,negative,strong,opinion
التفاخر,Disgust,,,negative,,emolex
غليان,anger,red,,negative,strong,opinion
بالخط العريض,bosor,,active,positive,strong,emolex
بكل جرأة,anger,,,positive,strong,mpqa
جرأة,anger,,,positive,strong,emolex
دعم,trust,,active,positive,strong,emolex
منمق,trust,,,negative,strong,opinion
وسيم,joy,,,positive,strong,opinion
المكافآت,joy,,,positive,,opinion
المعتوه,anger,pink,,,,colour
المغفل,anger,,,negative,,emolex
المثقف,trust,,,negative,,emolex
فقاعة,surprise,,,positive,weak,opinion
ازدهار,anticipation,,,positive,weak,opinion
نعمة,trust,,,positive,,emolex
تعزيز,trust,,active,positive,weak,opinion
خمر,Disgust,,,negative,,emolex
ملل,Disgust,grey,,negative,strong,emolex
مولود,joy,,passive,,,inquirer
اقتراض,sadness,red,,,,colour
قرح,Disgust,,,negative,strong,opinion
يزعج,anger,,active,negative,strong,emolex
ازعجت,anger,,,negative,,opinion
يزعج,anger,,,negative,,opinion
مزعج,anger,,,negative,strong,opinion
زجاجة,,white,,,,colour
وثب، ارتداد,surprise,,active,,,inquirer
مقيد,sadness,,passive,negative,,emolex
غير محدود,anticipation,white,,positive,strong,opinion
ينحني,sadness,,passive,,,inquirer
الصبا,joy,blue,,,,colour
صبياني,joy,blue,,,,colour
دعامة,trust,brown,,,,colour
غسيل الدماغ,anger,,,negative,strong,opinion
ذكي,trust,,,positive,strong,opinion
علامة تجارية جديدة,joy,,,positive,,opinion
لوح مهددا,fear,,active,,,inquirer
لوح مهددا,anger,,active,,,inquirer
باندفاع,fear,,,negative,strong,opinion
تبجح,Disgust,,,negative,strong,emolex
شجاع,trust,,,positive,strong,opinion
شجاعة,trust,,,positive,strong,emolex
مرحى,joy,,,positive,,opinion
بوقاحة,anger,,,negative,strong,opinion
الوقاحة,anger,,,negative,strong,opinion
الوقاحة,Disgust,,,negative,strong,opinion
خرق,anger,,active,negative,weak,emolex
مورد رزق,trust,,,positive,,inquirer
انفصل,sadness,,,negative,,opinion
وشكا من كسر,sadness,,,negative,,opinion
انفصال,brgea,,passive,negative,weak,emolex
وجبة افطار,joy,yellow,,positive,,emolex
كسر,sadness,,,negative,,opinion
خطيرة جدا,fear,red,,negative,,emolex
اختراقات,anger,,,positive,weak,opinion
التحطم,anger,,,negative,,opinion
التحطم,sadness,,,negative,,opinion
التحطم,fear,,,negative,,opinion
ضيق التنفس,sadness,,,positive,strong,opinion
مثير,joy,,,positive,strong,opinion
مذهل,joy,,,positive,strong,opinion
نسيم,joy,,,positive,,opinion
رشوة,Disgust,,,negative,,emolex
رشوة,anger,,,negative,,emolex
لجام,anger,brown,,,,colour
لجم لسانه,anger,brown,,,,colour
أكثر إشراقا,anticipation,,,positive,,opinion
ألمع,joy,,,positive,,opinion
سطوع,joy,,,positive,weak,emolex
تألق,joy,,,positive,weak,opinion
ببراعة,joy,,,positive,strong,opinion
انتعش,anticipation,,,positive,weak,opinion
هش,sadness,,,negative,weak,opinion
واسع,trust,,,positive,weak,mpqa
على نطاق واسع,trust,,,,weak,mpqa
كسر القلب,sadness,,,negative,strong,opinion
كسر قلبها,sadness,,,negative,strong,opinion
خوف,fear,,,negative,strong,opinion
بكدمة,sadness,,,negative,,opinion
الكدمات,sadness,,,negative,,opinion
كدمات,sadness,,,negative,,opinion
فظ,fear,,,negative,strong,opinion
فظ,anger,,,negative,strong,opinion
وحش,anger,,,negative,strong,opinion
الوحشية,anger,,,negative,strong,opinion
وحشي,anger,,,negative,strong,opinion
بهيمي,anger,,,negative,strong,opinion
التنصت,Disgust,,,negative,,opinion
بناء,trust,,active,positive,,emolex
البناء,trust,grey,,positive,,emolex
البنايات,trust,grey,,,,colour
ضخم,trust,,,negative,weak,opinion
رصاصة,anger,black,,,,colour
ضد الرصاص,anger,grey,,positive,,emolex
متفائل,joy,,,positive,weak,opinion
هراء,anger,,,negative,,opinion
التسلط,anger,,,negative,,opinion
حصن,trust,grey,,,,colour
صدم,surprise,brown,,negative,,opinion
مطبات,fear,,,negative,,opinion
وعر,fear,,,negative,weak,opinion
كعكة,joy,brown,,,,colour
عمل غير متقن,anger,,,negative,strong,opinion
العامل الأخرق,anger,,,negative,strong,opinion
أخرق,anger,,,negative,,opinion
كلام فارغ,anger,,,negative,weak,opinion
حافة خشنة,fear,brown,,,,colour
عبء,sadness,brown,,negative,strong,opinion
السطو,fear,,,negative,,emolex
قوي البنية,trust,brown,,,,colour
حرق,sadness,red,active,negative,strong,opinion
أحرق,anger,,,negative,,opinion
حارق,,red,,,,colour
احتراق,sadness,red,,negative,,opinion
الحروق,sadness,,,negative,,opinion
انفجار,anger,,active,,,inquirer
انفجار,sadness,,active,,,inquirer
إفلاس,sadness,,,negative,,opinion
مشغول,anticipation,,active,negative,weak,mpqa
فضولي,joy,,,negative,strong,opinion
مجزرة,sadness,,active,negative,strong,opinion
مخبأ,trust,green,,,,colour
المصائب,sadness,,,negative,strong,opinion
فاجع,sadness,,,negative,strong,opinion
بصورة كارثية,cager,,,negative,strong,opinion
افترى,anger,,,negative,strong,opinion
الافتراء,anger,,,negative,strong,opinion
الافتراءات,anger,,,negative,strong,opinion
إفترائي,anger,,,negative,strong,opinion
افتراء,anger,,,negative,strong,opinion
صراحة,trust,grey,,positive,strong,mpqa
الاستفادة,casoa,,active,positive,weak,mpqa
أذعن,sadness,,passive,negative,weak,opinion
نزوة,Disgust,pink,,,,colour
متقلب,fear,,,negative,strong,opinion
نزوة,anger,,,negative,strong,opinion
اتباع الهوى,Disgust,,,negative,strong,opinion
انقلب,surprise,,,negative,weak,opinion
آسر,sadness,,,positive,strong,emolex
السبي,sadness,,,positive,strong,mpqa
أسر,sadness,,active,negative,,emolex
رعاية,trust,orange,active,positive,weak,mpqa
براحة البال,trust,,,positive,strong,opinion
حذر,fear,yellow,,positive,weak,emolex
بحرص,trust,white,,positive,,emolex
غير مبالي,Disgust,,,negative,strong,opinion
عناق,joy,white,,positive,,emolex
كاريكاتور,joy,,,negative,strong,emolex
بإهمال,anger,pink,,,,colour
المحفز,joy,red,,,,colour
الكوارث,sadness,,,negative,strong,opinion
كارثي,anger,,,negative,strong,opinion
كارثي,sadness,,,negative,strong,opinion
جذاب,joy,,,positive,strong,opinion
يسد,anger,white,,,,colour
حريف,sadness,red,,,,colour
وقف إطلاق,fear,,passive,,,inquirer
غير منقطع أبدا,fear,,,positive,weak,mpqa
تنازل,sadness,,,negative,,emolex
سقف,trust,white,,,,colour
احتفل,joy,,active,positive,strong,opinion
محتفل,joy,,,positive,strong,opinion
ذكرى مئوية,joy,white,,,,colour
احتفالي,joy,,,positive,,inquirer
المؤكد,trust,,,,weak,mpqa
من المؤكد,trust,,,,strong,mpqa
معتمد,trust,,,,weak,mpqa
الغضب,anger,red,,negative,,emolex
الشاليه,joy,brown,,,,colour
التحدي,joy,,,negative,weak,opinion
بطولة,joy,,,positive,,inquirer
جاذبية,joy,,,positive,strong,opinion
سحر,joy,,,positive,strong,emolex
ساحر,joy,orange,,,,colour
ساحر,joy,,,positive,strong,emolex
مسحور,fear,,,positive,strong,opinion
مسحور,joy,,,positive,strong,opinion
القانوني,trust,grey,,,,colour
مطاردة,fear,,active,negative,,emolex
عفيف,trust,,,positive,strong,opinion
عاقب,anger,,,negative,strong,opinion
عاقب,anger,,active,negative,strong,opinion
معاقبة,anger,,,negative,strong,emolex
رخيص,Disgust,,,negative,strong,emolex
رخص,Disgust,,active,negative,strong,opinion
رخيص,anger,,,negative,,opinion
خدع,anger,,,negative,,opinion
الغشاش,Disgust,,,negative,strong,opinion
غش,anger,,,negative,,opinion
غش,anger,,,negative,,opinion
التحقق من,trust,,active,,,inquirer
زقزقة,joy,yellow,,,,colour
كئيب,sadness,,,negative,strong,opinion
تشيز كيك,joy,,,negative,,emolex
طفل جميل,anticipation,,,positive,strong,opinion
شطرنج,joy,white,,,,colour
أناقة,joy,,,positive,strong,opinion
شيخ القبيلة,trust,,,positive,,emolex
طفولي,joy,yellow,,negative,strong,emolex
قشعريرة,fear,blue,,negative,weak,opinion
حار,anticipation,white,,negative,weak,emolex
فتاة وقحة,Disgust,white,,negative,strong,mpqa
شهم,trust,,,positive,strong,opinion
شهامة,trust,,,positive,strong,emolex
ناشئ عن الكوليرا,sadness,,,negative,,opinion
يقطع,anger,,,negative,,emolex
متلاطم الامواج,sadness,red,,,,colour
متقطع,fear,,,negative,weak,opinion
عمل روتيني,Disgust,,,negative,weak,emolex
صديق حميم,trust,,,positive,weak,mpqa
عصير التفاح,joy,,,positive,,emolex
سيجار,joy,brown,,,,colour
سيجارة,joy,,,negative,,emolex
جمرة,anger,red,,,,colour
سينما,joy,red,,,,colour
قرفة,joy,brown,,,,colour
إبطال,joy,,,negative,,emolex
سري,fear,,,,weak,mpqa
أنيق,joy,,,positive,,opinion
منظف,trust,,,positive,,opinion
أنظف,trust,,,positive,,opinion
تنظيف,trust,,,positive,,emolex
النظافة,anticipation,white,,positive,weak,emolex
نظيف,trust,white,,positive,,emolex
تطهير,trust,white,active,positive,weak,emolex
تطهير,trust,white,,positive,,emolex
واضح,trust,,,positive,weak,opinion
واضح,trust,,,positive,strong,opinion
مسح,trust,,,positive,,opinion
أكثر وضوحا,trust,,,positive,strong,opinion
المقاصة,fear,green,,,,colour
بوضوح,trust,,,positive,strong,opinion
وضوح,trust,,,positive,,emolex
ثبات,trust,,,positive,,opinion
رأفة,trust,white,,,,colour
بذكاء,trust,,,positive,,opinion
ذكاء,trust,green,,positive,,emolex
سد,clgea,brown,passive,negative,weak,opinion
انسداد,sadness,,,negative,,opinion
أغلق,anger,,active,negative,weak,mpqa
مغلق,sadness,black,,,,colour
تجلط,sadness,red,,,,colour
كسا,trust,,,positive,,emolex
نفوذ,clsor,,,positive,strong,mpqa
جاهل,Disgust,,,negative,,opinion
تعاون,trust,,,positive,weak,mpqa
تجلط الدم,sadness,red,,,,colour
مغرور,Disgust,,,negative,strong,opinion
الخبراء,trust,,,negative,strong,opinion
التعايش,trust,,passive,positive,,inquirer
قهوة,joy,black,,,,colour
صدفة,surprise,,active,positive,,inquirer
البرد,fear,,passive,negative,weak,emolex
مغص,sadness,,,negative,,emolex
تعاون,trust,,active,positive,,inquirer
طوق النجاة,ف,,active,,,inquirer
زميل,trust,black,,positive,,inquirer
انتظام,,white,,,,colour
تآمر,anger,,,negative,strong,opinion
قابل للاحتراق,sadness,,,negative,,opinion
سريع الغضب,anger,red,,,,colour
الإحتراق,anger,,active,,,inquirer
المذنب,Disgust,white,,,,colour
مريح,trust,,,positive,weak,opinion
مريح,joy,,,positive,weak,opinion
تعزية,sadness,,,positive,strong,opinion
مريح,surprise,,,positive,,opinion
رسوم متحركة,joy,yellow,,positive,,inquirer
هزلي,joy,,,negative,weak,opinion
أثني,trust,,active,positive,strong,emolex
يستحق الثناء,trust,,,positive,strong,opinion
توصية,trust,,,positive,,inquirer
متناسب,trust,white,,positive,weak,mpqa
رثى,sadness,,,negative,strong,opinion
مندوب,trust,green,,,,colour
ارتكب,sadness,,active,,,inquirer
التزام,trust,,active,positive,weak,opinion
الفطرة السليمة,trust,,,positive,weak,mpqa
الاضطرابات,anger,,,negative,,opinion
تواصل اجتماعي,joy,green,,positive,,emolex
مضغوط,s,,,positive,,opinion
رحيم,cosor,white,,positive,strong,emolex
التوافق,trust,purple,,positive,,emolex
متوافق,trust,white,,positive,weak,emolex
قهري,sadness,,,positive,strong,emolex
تعويضات,trust,green,active,positive,,inquirer
تعويضية,trust,green,,positive,,emolex
تنافس,joy,,active,,,inquirer
منافس,joy,,active,positive,weak,opinion
القدرة التنافسية,joy,,,positive,weak,mpqa
منافس,fear,red,,,,colour
منافس,fear,red,,,,colour
الرضا عن النفس,anticipation,,,positive,,emolex
الرضا,trust,,,negative,strong,opinion
اشتكى,anger,,,negative,,opinion
الشكوى,anger,,,negative,strong,opinion
يشكو,anger,,,negative,,opinion
شكاوي,anger,,,negative,strong,opinion
مكمل,trust,,,positive,,emolex
تستكمل,trust,,,positive,,opinion
تكملة,trust,,,positive,,opinion
اكتمال,trust,,passive,positive,weak,mpqa
منجز,trust,blue,,,,colour
تماما,trust,,,positive,weak,emolex
كمال,trust,yellow,,positive,,emolex
معقد,fear,,,negative,,emolex
متواطئة,anger,,,negative,strong,opinion
تواطؤ,anger,,passive,negative,,emolex
متواطئة,fear,,,negative,strong,opinion
تواطؤ,fear,,passive,negative,,emolex
مجاني,joy,,,positive,strong,opinion
الامتثال,trust,,passive,,,inquirer
ملحن,joy,,,positive,,emolex
فهم,trust,green,active,positive,strong,emolex
استيعاب,trust,,,positive,,inquirer
شامل,trust,,,positive,weak,emolex
ضغط,sadness,,active,,,inquirer
مرونة,trust,,passive,positive,weak,mpqa
تنازلات,sadness,,,positive,weak,mpqa
لا يقاوم,joy,,,negative,strong,opinion
إلزامي,trust,,,negative,weak,emolex
تتنازل,sadness,,passive,negative,strong,opinion
غرور,anger,,,negative,strong,emolex
مغرور,anger,,,negative,strong,emolex
ممكن تصوره,anticipation,,passive,positive,strong,mpqa
الاهتمام,trust,,passive,negative,strong,opinion
حفلة موسيقية,joy,white,,,,colour
مصلحجي,fear,,,positive,strong,opinion
إجتماع سري,fear,grey,,,,colour
اتفق,trust,,active,positive,strong,mpqa
منافس,fear,grey,,,,colour
الإدانة,anger,,,negative,strong,opinion
مدان,anger,,,negative,,opinion
يحتقر أو يستعلي,anger,,,negative,strong,opinion
التنازل,coger,,,negative,strong,emolex
متنازل,coger,,,negative,strong,opinion
تغاضى,trust,,active,positive,strong,emolex
تؤدي,sadness,,,positive,weak,emolex
منح,joy,white,active,positive,weak,mpqa
اعترافات,trust,purple,,negative,strong,opinion
يتعارض,fear,,,negative,,opinion
متعارض,fear,,,negative,,emolex
النزاعات,anger,,,negative,,opinion
تتفق,trust,,passive,,,inquirer
التوافق,trust,,,positive,,emolex
أربك,fear,,,negative,weak,emolex
مرتبك,fear,grey,,negative,weak,emolex
مربك,fear,,,negative,weak,opinion
أربك,surprise,,,negative,weak,emolex
مرتبك,surprise,grey,,negative,weak,emolex
مربك,surprise,,,negative,weak,opinion
تخلط,fear,,passive,negative,strong,emolex
مشوش,anticipation,,,negative,strong,opinion
يشوش,anticipation,,,negative,,opinion
مشوش,fear,,,negative,strong,opinion
يشوش,fear,,,negative,,opinion
مربك,fear,,,negative,strong,opinion
التباسات,fear,,,negative,,opinion
متجانس روحا وطبعا,joy,,,positive,strong,emolex
مزدحم,fear,,,negative,weak,opinion
ازدحام، اكتظاظ، احتقان,fear,green,,negative,weak,emolex
هنأ,joy,,active,positive,strong,opinion
تهنئة,joy,,,positive,,opinion
تهانينا,joy,,,positive,strong,opinion
يغزو,anger,,active,positive,weak,mpqa
افتتاح,joy,orange,,positive,,inquirer
سلبيات,Disgust,,,negative,,opinion
سلبيات,anger,,,negative,strong,opinion
سلبيات,fear,,,negative,,opinion
وعي,trust,,,positive,weak,emolex
التحفظ,fear,blue,,,,colour
تحفظا,fear,grey,passive,negative,,opinion
معهد موسيقي,joy,green,,,,colour
حفظ,trust,green,active,positive,,emolex
المؤامرات,anger,,,negative,weak,opinion
تآمري,anger,,,negative,strong,opinion
مقيدة,sadness,,,negative,,emolex
تشاور,trust,,,positive,,inquirer
يلوث,anger,,,negative,,opinion
يلوث,Disgust,,,negative,,opinion
بازدراء,Disgust,,,negative,strong,opinion
تنافس شريف,trust,,active,negative,strong,opinion
خلاف,fear,,active,negative,strong,opinion
اطمئنان,trust,,,positive,strong,opinion
مسابقة,joy,,active,,,inquirer
استمرارية,trust,,active,positive,weak,opinion
مستمر في عدوانه,anger,,active,,weak,mpqa
تتلوى من الألم,sadness,,,negative,strong,opinion
التشويهات,fear,,,negative,strong,opinion
عقد,trust,,passive,,,inquirer
التعاقد,trust,grey,,negative,,emolex
التعاقد,trust,black,,,,colour
التعاقد,coger,,,negative,strong,emolex
التعاقد,coger,,,negative,strong,emolex
تناقض,coger,,,negative,strong,opinion
متناقض,coger,,,negative,strong,emolex
مخالفة,anger,,active,positive,,emolex
مخالفة,Disgust,,active,positive,weak,opinion
تساهم,trust,,,negative,strong,opinion
إسهام,trust,,,negative,strong,opinion
تدبر,trust,,active,,,inquirer
مراقبة,fear,red,,,,colour
جدال,fear,,active,positive,,inquirer
السهولة أو الراحة,joy,,,positive,strong,opinion
مناسب,trust,grey,,positive,,emolex
ملائم,joy,yellow,,,,colour
ملم ب,trust,,,positive,,emolex
قناعة,anticipation,,,positive,,opinion
مقنع,trust,yellow,,,,colour
معقد,fear,green,,,,colour
سجع,fear,,passive,positive,,emolex
طبخ,joy,white,,,,colour
أروع,joy,blue,active,positive,weak,emolex
رباطة جأش,anticipation,,,positive,weak,opinion
تنسيق,joy,,passive,,,inquirer
تنسيق,trust,,,negative,weak,mpqa
التأقلم,trust,,active,negative,,emolex
ودي,joy,black,,positive,,emolex
حجر الأساس,joy,blue,,,,colour
الطبيب الشرعي,fear,,,positive,,emolex
زرب، جمع، رتب، طوق,trust,,,negative,,emolex
بشكل صحيح,trust,grey,,,,colour
علاقه مترابطه,trust,,passive,negative,weak,opinion
فاسد,Disgust,,,negative,,opinion
تلف,sadness,,,negative,,opinion
تفسد,sadness,pink,,,,colour
مستحضرات التجميل,joy,green,,,,colour
فعاله من حيث التكلفه,joy,,,negative,,opinion
التوفير في التكاليف,joy,green,,negative,weak,opinion
أكثر تكلفة,sadness,purple,,,,colour
دافئ,trust,brown,,,,colour
هجوم مضاد,anger,,,negative,,opinion
هجمات مضادة,anger,,active,,,inquirer
نتائج عكسية,fear,,active,,,inquirer
نتائج عكسية,sadness,,active,,,inquirer
إشتهى ملك غيره,Disgust,,,,strong,mpqa
تطمع,Disgust,,,negative,strong,opinion
طامع,fear,brown,,negative,weak,mpqa
بطمع,Disgust,brown,,,,colour
حرفة,joy,,,negative,,opinion
ببراعة,joy,,,positive,,emolex
حرفي,joy,,active,,,inquirer
ماكر,fear,brown,,,,colour
حشر,crgea,,,negative,weak,emolex
سيء الجودة,Disgust,,,negative,,opinion
تحطم,sadness,,,negative,,opinion
حوادث,sadness,,,negative,strong,opinion
تحطمها,sadness,,,negative,strong,opinion
شخص جبان,fear,,,negative,strong,opinion
بجبن,Disgust,,,negative,strong,opinion
جنون,fear,,,negative,strong,opinion
الجنون,fear,,,negative,,opinion
جنون,surprise,brown,,negative,,emolex
يئن تحت وطأتها,sadness,white,,,,colour
خلاق,trust,,active,,,inquirer
الإبداع,trust,,,positive,,inquirer
المنشئ,trust,,,positive,,emolex
شهاداته,trust,green,,,,colour
الفضل,trust,,,negative,strong,opinion
دائن,anger,purple,,,,colour
ساذج,anger,blue,,,,colour
العقيدة,trust,,active,negative,,emolex
لصوص,anger,,active,negative,,opinion
مخيف,fear,red,,,,colour
تسلل,fear,,,negative,,opinion
متذلل,joy,,,negative,,opinion
يتذلل,joy,,,negative,strong,opinion
المقعدين,sadness,red,,negative,weak,emolex
تعطيل,sadness,,,positive,,opinion
أزمة,anger,red,,negative,strong,emolex
هش,sadness,,,negative,strong,opinion
الناقد,anger,,,negative,strong,opinion
حرج,sadness,,,negative,,opinion
حرج,surprise,,,negative,,opinion
الانتقادات,sadness,,,negative,,opinion
انتقد,anger,,,negative,strong,opinion
انتقاد,fear,,,positive,,emolex
النقاد,fear,,passive,,,inquirer
نقد,fear,brown,,,,colour
تشاءم,anticipation,,,negative,,opinion
المحسوبية,Disgust,,,negative,strong,opinion
المحتال,Disgust,,,negative,,opinion
المحتالون,Disgust,blue,,,,colour
يحشد,fear,,,negative,,opinion
قسوة,anger,,,negative,,opinion
خسة,Disgust,,,negative,strong,opinion
القسوة,anger,white,,,,colour
القسوة,Disgust,grey,,,,colour
طراد,sadness,,,negative,,opinion
تدهور,sadness,,passive,negative,weak,opinion
تطويق,anger,,,positive,strong,opinion
شفاء,anticipation,black,,,,colour
حظر التجول,anger,,,positive,strong,mpqa
الغريب,fear,green,,,,colour
الشتائم,anger,,,negative,weak,opinion
سطحي,Disgust,black,active,,,inquirer
فظ,Disgust,grey,,,,colour
بتر,sadness,white,,,,colour
التالفة,Disgust,,,negative,,opinion
مدمرة,anger,,,negative,weak,opinion
جدير باللعنة,anger,,,negative,strong,opinion
ملعون,anger,black,,negative,strong,emolex
إدانة,anger,,,negative,strong,opinion
خطورة,fear,,,negative,strong,opinion
استرخى,joy,,,negative,strong,mpqa
بحزن,sadness,black,,,,colour
اندفاع,surprise,,active,negative,weak,mpqa
أرعب,fear,,,negative,strong,opinion
